Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
North Macedonia,MKD,0.56185732034268,-0.8074531352018582,1.3022489276282598,-1.191442014958794,-0.13647704522045515,0.7572999029132848,-0.557360064923975,-0.07229642466274755,-0.36760555285460755,-0.30586215551628704,-0.30318526355541486,-0.1751752285233331,0.11284187695690416,-0.8934502501830127,0.28135676727290837,1.5626954594820432,-0.360167200086001,0.03401379741661402,-1.1406076767912237
Northern Mariana Islands,MNP,0.56185732034268,-0.469888633366791,0.0,0.0,-1.320219258838566e-16,0.0,0.0,-3.275076448987872e-17,-0.38334376737916187,-4.9246282766049297e-17,-4.8523628408910723e-17,0.0,0.11770791328878813,-0.34618094600093785,0.8497989527618516,0.0,0.0,1.3828932057414407,0.0
Norway,NOR,0.56185732034268,-0.8409432180002436,0.015816788594675592,0.6179160956491714,2.701699615395454,1.2947801003799904,4.803373865898329,-0.4218480409513376,-0.1520949860310962,-0.23786985081171455,-0.2695078601600077,-0.12499185775049904,0.18044177317367308,-0.9490955780774755,0.19897501784821955,1.8976058965197105,3.0015530080829342,0.9788428630366672,-1.3805051560807762
OECD members,OED,0.558300756744361,-0.8038807702474255,0.4446275016058704,0.059795308090267674,1.1072580046389955,0.0,0.7823729274103863,-0.10225554787074999,7.399714494577264e-17,5.10622034874285,5.505574253242594,0.10483474585918706,4.489434157812357,-0.9050723600774119,0.17151666331294005,0.6762212716615008,1.340415363847417,0.8872829701133256,-1.0471485301850094
Oman,OMN,0.56185732034268,-0.36567132554902515,0.015816788594675592,0.8674994558911852,0.46288461861001434,1.1243096335397662,0.2673935495298451,-0.3042014260468815,-0.1869084759143692,-0.3003159476868368,-0.2925917550194787,1.428733281464655,0.29706163689096454,-0.08418110164738647,1.4498856209552606,-2.3328417292191928,0.25438549120093973,0.8199393714392057,-1.4000060245904684
Other small states,OSS,0.3077773114398214,-0.31325677636016397,-0.1985885679109218,-0.2795594960071499,-0.043227317449717015,0.0,-0.06255271076989974,-0.12237774992112024,7.399714494577264e-17,-0.28706873483817125,-0.2730820954726153,-0.12089641544947739,0.13782298770468646,-0.2250184884144326,0.3912916147318398,-0.0995527427245435,0.09595845169570125,-0.3068183209935009,-0.46966609815771493
Pacific island small states,PSS,0.04814135812688427,0.6195357384140027,0.0,0.4910714814053583,-0.7742386566371946,0.0,-0.5282008797807094,-0.09135354428070375,7.399714494577264e-17,-0.30842087618608555,-0.29786384973165947,0.0,0.10717469713165106,0.7471488253068175,-0.44108833201899106,-1.541017108171205,-0.6067259060391909,-0.9643270490175191,0.6288362664980547
Pakistan,PAK,0.3587606199423209,1.0265055673818677,0.8734382146170652,-0.7359257072648568,-0.8410494650438457,-1.9626416011942949,-0.7270001281059201,0.26202783088064174,0.1063587864983477,-0.29804752110763827,-0.2883205376996231,0.3217955406366238,-1.7238251011084527,1.0871165120811637,-0.8842683652572619,-0.45676602774629294,-0.7242983066978802,-1.0293781220557006,0.8008275927543229
Palau,PLW,0.56185732034268,-0.7987757590468657,0.8734382146170652,0.0,-0.3977217470603433,0.0,0.0,-0.01416795220580364,-0.38334376737916187,-0.309490024944739,-0.3078690302066004,0.0,0.1191895735563543,-0.7472676965187397,1.1868501292179037,-1.7599686132337167,0.0,0.8010111278293975,0.0
Panama,PAN,0.4233822973424353,-0.19155949531001612,0.4446275016058704,0.3554316134047518,0.38552760179907347,-0.09013610723014841,0.40636071376998795,-0.17596146956156314,-0.3364850769611431,-0.3081625093236939,-0.30385521014792044,0.0,0.12747526357797434,-0.07938105181765692,0.32274892632867797,-0.2672710574969166,0.39218712285815277,0.1977610579436626,-0.03615277589116542
Papua New Guinea,PNG,-3.1077307891638024,0.567834084776122,0.0,-0.6432898312325508,-0.8899012721817162,-2.113142059766893,-0.09705890633867985,-0.29767412114070657,-0.09578446806945376,-0.30511131583419093,-0.3054624497119735,-0.7427818165467265,0.11831559883631527,0.7663978847262786,-0.17038737293713793,-2.0851128141984465,-0.7594269319786993,-2.1076748314556277,1.4606472899335194
Paraguay,PRY,0.5526256521426635,0.10083746125150242,1.3022489276282598,0.9152239072083527,-0.4218827939085558,0.34402397003069823,-0.21618513056212427,-0.17752409473724973,-0.1319187793435017,-0.30469403388493943,-0.30119638990278813,-0.4978859469880136,0.10498634636780334,0.26821453436031284,0.17979504965673315,-0.27049851167147954,-0.608424614783356,0.3559803120322359,-0.029276983691358793
Peru,PER,0.3864556245423702,-0.2880993077906381,1.7310596406394547,1.1551071757192355,-0.4419606745005657,0.40724034783074403,-0.3014257812968003,-0.10081860686447232,0.42997105542973274,-0.2836239527311429,-0.28251415622007614,-0.3665730611765129,0.14741394986678144,-0.17042548337851737,0.4945257667845653,1.2198597652643763,-0.5635977213063561,1.0564063206923688,0.4942419465858093
Philippines,PHL,0.46954063834251686,0.04515002083704692,1.3022489276282598,0.276666868547964,-0.6606218491988122,0.6019513393957333,-0.5001142944510444,-0.13278774651380973,-0.1941101710098135,-0.2800757239472608,-0.2578485574184292,-0.39149637777477075,-0.06774201158324383,0.25101177185760665,0.40375723125421514,0.17232688087806214,-0.657774291944229,-0.28944051354354683,-0.11262884920017346
Poland,POL,0.56185732034268,-0.9554648450967087,-0.41299392441651916,0.03765660829288245,0.6997876399558223,0.7224081007203385,-0.04165931795939805,-0.035730374040576635,-0.18896156286567417,-0.15640255344865567,-0.16197207111927175,0.48458491920738117,0.11030757786637431,-1.0889337394022434,0.26594814973753345,0.357171163234344,0.2749418617861224,-0.07335152268665357,-0.8606993956039174
Portugal,PRT,0.56185732034268,-1.0863469172351714,0.8734382146170652,-0.23928101063092252,0.7317135013346477,0.6940016621779582,0.012276539734496616,-0.07957448099820096,-0.32540883176651175,-0.27660026687437644,-0.26282511821186666,-0.2700855560589742,0.15232891967908427,-1.3074304012658313,-0.14461154057157166,0.9748778274273779,0.615448543699001,-0.013498388582826067,-1.1287707307112438
Post-demographic dividend,PST,0.56185732034268,-0.9247361569984104,0.4446275016058704,0.09717405529191182,1.3240999289778477,0.0,1.1047950100911974,-0.1029233966871756,7.399714494577264e-17,4.8572143898861775,5.2822639799718125,0.16768533835423732,4.329672034184389,-1.0766271296422991,0.05926028461808737,0.7398355472994068,1.7336149981750428,0.8875940013797072,-1.2173930166972209
Pre-demographic dividend,PRE,-1.629233507711358,1.7308017170401715,-0.41299392441651916,0.9137726882654567,-0.8741127929039009,0.0,-0.6404647805518415,-0.1327316769582507,7.399714494577264e-17,-0.16199729436723503,-0.17208261285281495,-0.29542192820344254,-0.8048998583590811,1.610236512614308,-1.5778704751676933,-0.02775796952437076,-0.7931548587121353,-0.7514621674113859,1.5087593267678774
