Country Name,Country Code,"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Uruguay,URY,27.859383656758837,,59.681,36417.87416249601,91.9911,49237.25704944712,4.280184465654131,2.3105382779891896,-1348.0,18.2929719075618,65.6618351068738,28.2828282828283,32114.198706105315,95.5981951588181,24.500610385269358
Uzbekistan,UZB,49.34540822390311,11.0,55.14,11878.552870684822,,10536.62885484061,13.3925832336284,,-7066.0,31.1034262577169,63.0320578494076,38.0,8626.333746976501,50.9986686706543,33.53167043671979
Vanuatu,VUT,66.7602279493068,,55.434,3605.607366917352,,,-0.7008421125721469,,-43.0,38.3139477236845,57.390302873138,1.96078431372549,,22.2866933360645,57.99170272561005
"Venezuela, RB",VEN,39.39730919152192,17.0,49.28,,,,54.7195996964698,,-105297.0,25.5270054158092,64.793783382349,,,89.285859883201,37.16484544875864
Viet Nam,VNM,34.289697498865465,10.0,71.963,16385.506556545766,84.15,7714.742525099037,4.1595862115790965,,-59645.0,23.2240051365074,67.7288116705198,30.6288032454361,8012.467717744746,38.4900703430176,51.8648185778417
Virgin Islands (U.S.),VIR,27.12721543914927,,48.249,,,,,,-420.0,16.4966727518992,60.8132618809257,,,95.3312197036061,5.484097287184283
West Bank and Gaza,PSE,65.4684642684834,,,4371.111358572647,,,4.601491912147296,,-23145.0,38.0471055745642,58.1151601426855,,,87.1196014117004,
World,WLD,37.99803647367179,,58.194542871144606,24526.87044501047,71.2,25241.6961707792,3.9117926513213206,2.469231211779858,0.0,24.72649838324869,65.07309494641474,27.03449771008916,26501.561934202942,57.56347971113571,42.48326252914677
"Yemen, Rep.",YEM,72.98934376431994,,27.554,,,,,,-10482.0,41.1284265424891,56.3485358565373,0.0,,36.8077517596594,45.5155998717321
Zambia,ZMB,73.25149510187516,7.0,58.251,4214.892778047992,,12265.20806957729,14.410663330340483,1.33268361976463,7381.0,41.4573443514813,56.5959028157483,14.9700598802395,7129.296750886309,45.4703838491279,70.50713636654416
Zimbabwe,ZWE,73.61381335069119,,61.335,5928.080625275605,,9772.001760269646,1097.2466741772853,0.3511950238557509,-60528.0,40.873763046968,55.5245832086542,28.0898876404494,6102.112363451708,39.8933716820696,68.34133610410554
