Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Africa Western and Central,AFW,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,2.7595833333332997,-3085,-3.0616666666666603,-3.139999999999999,-3.6016666666666692,-3.2733333333333405,-3.2449166666666605,-2.9533333333333296,-2.3666666666666707,-1.92,-1.84416666666666,-1.63,1.29875,,,,,,,
Africa Western and Central,AFW,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Listed domestic companies, total",CM.MKT.LDOM.NO,,270,278,281,283,285,264,255,254,226,222,,,,259,254,204,203,,
Africa Western and Central,AFW,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,13.261744770950099,28.80865644245658,14.41809107337101,11.487645277091836,13.971159580027646,9.870497577118352,,16.42076008128301,11.954014450538898,11.592813138743278,,,,7.777737741464285,9.816936919016543,9.39758943545694,9.550188050016665,,
Africa Western and Central,AFW,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,37745770000,95601030000,57994450000,40774750000,60652210000,48414500000,,92428750000,74476710000,62466910000,,,,61985110000,71822960000,64717620000,68844370000,,
Africa Western and Central,AFW,Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,8.675139759586024,8.50044255887774,12.328432457669969,15.21254944750139,16.362993049806125,13.012713803506047,11.857511436633553,11.612288654905287,12.577494695139118,13.975849869757564,14.441516407800705,15.859360761642387,14.932154102928797,13.29285888231502,11.073850301696137,11.733098053715942,12.650581598506292,12.62714521324462,,
Africa Western and Central,AFW,Net domestic credit (current LCU),FM.AST.DOMS.CN,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,1.319728371178701,5.324614057211397,4.300301394024569,1.3481352073224349,1.2517080914789889,0.8649613592138324,0.7973482948172036,1.0848520040858116,0.8879056687492186,0.8549338521590744,,,,0.36090094615875334,0.36681327865344876,0.2644156650183769,0.3185931381635168,,
Africa Western and Central,AFW,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,3756230000,17669640000,17297270000,4785130000,5433970000,4242610000,4318000000,6788170000,5531890000,4606740000,,,,2876220000,2683690000,1820930000,2296640000,,
Africa Western and Central,AFW,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,8.035398589607567,10.00321594273183,18.381634261796098,30.868236513655273,11.972705434465151,8.840410600872797,8.830991040884696,,,7.505260739378704,7.467633887762444,5.338494772714116,5.8679254180901,8.204806,5.407169092775913,3.8208673267460487,2.8420428917018983,3.2494843506013575,3.1971059677724405,2.6209493599846887
Africa Western and Central,AFW,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,22.48,,,30.47,,,37.23,,,,40.21,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,13.93,,,22.22,,,25.68,,,,31.26,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,30.66,,,38.03,,,48.4,,,,48.27,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,26,,,34.42,,,42.6,,,,45.35,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,16.36,,,23.09,,,27.92,,,,32.12,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,14.16,,,21.37,,,26.47,,,,28.58,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,26.69,,,35.5,,,43.64,,,,45.59,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,31.01,,,39.16,,,48.77,,,,48.54,,,
Arab World,ARB,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,14.73,,,21.4,,,21.01,,,,25.52,,,
Arab World,ARB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,6.454881677053945,7.98131308562885,13.8267679439709,13.62984574078145,15.84509620251125,19.6995833050517,18.726847818823053,20.205173436624648,22.5119871397226,23.047919758387103,23.3521636450203,26.1144560670316,26.717813828761102,27.9293581395085,28.8449825624824,28.9130369197499,29.2766567739344,29.5199656494945,30.6465550125215,
Arab World,ARB,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,12.023775261414425,12.612198456665709,19.067440695041807,17.795966840705134,20.187612193628684,20.64159232926346,14.537393935626358,14.129552463061431,15.040449540641607,18.262438664666497,17.77838033209575,15.947144333004452,17.807918861434704,14.815447355687006,15.22725030910997,14.610731450071043,14.581225433097245,13.325081633577723,11.410655776793304,11.233307149311019
Arab World,ARB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,,,,125.630251524898,141.500985876728,150.172514775922,142.670525436926,109.028518017574,112.362107407995,140.780639525824,145.31956480461548,164.100616336756,197.63769000842,174.225931193591,160.222168996399,,155.510943406111,,,
