Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
East Asia & Pacific,EAS,"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,
