Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
"Iran, Islamic Rep.",IRN,100.0,9.0,39.299,13927.512807432811,72.4509,16116.303111791438,30.93385547640756,1622500.0,29379249252.0,2.1469474501483803,-32794.0,69.0709368826133,5.88235294117647,1.0,75.2038879394531,41.33238205153924,5006.0,698.0,66.3,623.0,131.0,728.0,525.0,449.0
Iraq,IRQ,100.0,6.0,34.81,12248.59173859636,44.3263,40427.076593911865,-2.6744400358069385,434130.0,87157938362.0,3.23719485045446,-43919.0,57.7716971724032,25.2279635258359,0.9,69.8683395385742,27.12553703948517,,,,,,,,
Iceland,ISL,100.0,10.0,73.044,60523.81794408249,99.5049,107021.43868479924,4.836789148665787,100830.0,5272197877.0,,5030.0,66.8280660217161,38.0952380952381,81.7,93.9770847416131,11.143704618609153,7533.0,982.0,72.0,959.0,,699.0,787.0,178.0
Israel,ISR,100.0,15.0,62.571,41325.17836567558,86.7879,102899.52079869312,1.916400784392508,21640.0,54140000000.0,5.07212719116893,16134.0,59.9900386648577,23.3333333333333,4.5,91.6154002002652,7.930791553563552,7332.0,946.0,72.4,834.0,0.08,743.0,598.0,266.0
Italy,ITA,100.0,12.0,44.688,46661.91051596114,67.8507,66960.14744413944,1.0470069043043535,295717.0,529164686395.0,1.30611671363832,46634.0,63.8719351973526,35.7142857142857,17.3,69.5050010681153,15.77164301253178,6445.0,838.0,71.9,709.0,-86.0,866.0,569.0,328.0
Jamaica,JAM,98.9,6.0,63.628,10845.011363587451,70.841,11982.335758038258,2.636988283754448,10830.0,1513030317.0,1.6815257816760802,-10335.0,71.9239669163888,17.4603174603175,9.2,56.6957957395074,34.14191218818108,6309.0,878.0,66.6,891.0,-143.0,885.0,722.0,195.0
Jordan,JOR,99.9,10.0,32.649,9429.072795520367,70.0847,24508.723115606896,0.8443556568540629,88794.0,6706954220.0,4.566237503216271,-23156.0,62.9404777962745,15.3846153846154,8.5,91.515966492507,9.27869465995298,4453.0,793.0,67.6,726.0,-165.0,,,
Japan,JPN,100.0,9.0,60.55,42678.151144835385,92.7304,82642.56321660528,0.6348031656799265,364500.0,705469005551.0,0.9922314727475772,318190.0,59.0046702146202,10.1075268817204,7.8,91.7164207898107,8.10869689289236,5908.0,878.0,74.1,806.0,-259.0,617.0,693.0,194.0
Kazakhstan,KAZ,100.0,9.0,66.716,28689.2710838374,81.8776,37678.93807128672,7.633286237339448,2699700.0,57676140887.0,1.02091636689134,2594.0,63.5059401428091,27.1028037383178,1.9,59.0832474269546,25.42622604841758,6272.0,951.0,65.0,852.0,-59.0,708.0,711.0,139.0
Kenya,KEN,69.7,12.0,64.404,4687.377823253059,22.6688,6679.244971302948,4.275234239357502,578920.25,5797860664.0,1.1125711791299,-61949.0,57.3842176977434,21.7765042979943,68.1,31.1895566421135,60.437655812684895,4619.0,676.0,57.7,818.0,303.0,794.0,728.0,251.0
Kyrgyz Republic,KGZ,99.9,10.0,55.661,5304.227583144047,64.1,3310.6116863247776,9.811311947474591,191800.0,1964638360.0,2.71068623481534,47303.0,62.2170191568108,19.1666666666667,28.3,34.8805205758044,31.38461753195597,5685.0,877.0,65.8,0.92,-5.0,885.0,625.0,207.0
Cambodia,KHM,84.0,,82.324,6153.994395284272,52.3059,5563.256095080944,2.7925574107017184,176520.0,13860034971.0,1.62193704891153,-57268.0,63.4032719741108,20.0,53.0,39.5830241256026,53.6343183294795,4998.0,759.0,61.5,957.0,0.01,828.0,704.0,0.39
"Korea, Rep.",KOR,100.0,9.0,60.635,46511.2196957018,96.1576,88501.90741555137,-0.6242107651696926,97600.0,542420174000.0,2.51931997944066,128622.0,72.5261052970989,16.6666666666667,3.2,81.2901063535619,18.96890516867719,5903.0,783.0,73.1,706.0,-0.06,718.0,593.0,236.0
Kuwait,KWT,100.0,9.0,71.706,50703.0001343301,99.5427,98782.76041973812,-0.1104462838025028,17820.0,5641015754.0,5.32311669292361,181.0,75.6188018374256,4.61538461538462,0.1,100.0,1.5315754434352529,6106.0,842.0,70.1,867.0,-105.0,,643.0,303.0
Lao PDR,LAO,98.4,9.0,60.633,7743.219065342605,47.0323,27153.171047142816,1.1974239210929198,230800.0,5809183953.0,,-10305.0,63.9017051908735,27.5167785234899,50.5,35.9072880879451,78.1073781518287,5197.0,729.0,60.5,906.0,58.0,0.62,718.0,306.0
Lebanon,LBN,100.0,10.0,43.368,21710.46487508072,81.4812,16696.69652715963,4.094823155730239,10230.0,4626015533.0,4.73938277788589,-266992.0,63.3120025320152,4.6875,5.1,89.4986743521503,20.31690028117641,4024.0,866.0,66.0,447.0,-96.0,0.89,308.0,494.0
Liberia,LBR,23.1,6.0,74.464,1899.522009728552,18.3141,2996.536427988124,-0.5604266340449016,96320.0,266751151.0,0.418863636363636,-19678.0,55.0727285542488,12.3287671232877,89.7,52.85526226447,77.00881466811944,5121.0,712.0,54.9,706.0,48.0,828.0,645.0,389.0
Libya,LBY,68.5,9.0,39.81,16194.10820611456,,80999.24996203199,4.175672642365356,1759540.0,29250238656.0,,-1352.0,65.4919610863566,15.9574468085106,3.0,87.8220115209342,23.38788233002146,5.33,827.0,65.2,762.0,-105.0,686.0,629.0,401.0
Sri Lanka,LKA,99.8,11.0,49.809,14112.952504220966,32.0,12642.75928593568,3.8705276123282033,61864.47,11685318470.0,1.75219928060225,-28426.0,65.9700520980039,5.33333333333333,46.1,19.4946326418437,39.52341503081996,4213.0,815.0,67.0,824.0,45.0,863.0,753.0,315.0
Lesotho,LSO,44.6,7.0,47.925,2568.341143627193,42.3017,3265.931025094595,3.575454469320661,30360.0,1092600280.0,1.87540421655185,-6896.0,60.1484652771979,23.3333333333333,41.6,38.6040920446259,33.217020308490525,3512.0,0.79,44.2,716.0,-126.0,915.0,707.0,273.0
